Name,Model_Prediction,Human_Verdict,Confidence,male,female,common
swapnil,male,common,0.9994851322938966,,,
Ravi,Common,male,0.8078978592851023,,,
Nandini,female,female,0.9212753460963437,,,
Payal,female,female,0.9265184900710224,,,
Sonal,male,female,0.9957554592744196,,,
kiran,Common,common,0.8388292744335734,,,
suhana,Common,female,0.8292942098819277,,,
Lucky,female,common,0.9450160918454896,,,
surbhi,male,female,0.9990642961902406,,,
sonal,male,female,0.9950179748425304,,,
ali,female,male,0.946195826120391,,,
alia,female,female,0.9124585746049996,,,
juspreet,Common,female,0.6869017220662444,,,
sultan,Common,male,0.6371792693109921,,,
begam,Common,female,0.5637339527301953,,,
Niyaz,Common,male,0.7904221602304558,,,
sanyam,Common,male,0.6420981416574808,,,
gaytri,Common,female,0.6265431054863373,,,
saraswati,Common,female,0.7620013057216867,,,
radha,Common,female,0.7667226843857063,,,
om,Common,male,0.5230004834501971,,,
ved,Common,male,0.4403524907756609,,,
swaraj,Common,male,0.5837589484565937,,,
chetan,Common,male,0.4673429780607893,,,
pavi,Common,female,0.7559987598946972,,,
pihu,Common,female,0.7798873280419567,,,
rocky,Common,male,0.491772792151231,,,
nirmal,Common,male,0.5624381511295925,,,
anand,Common,male,0.5059654408115407,,,
anandi,Common,female,0.5446321182841322,,,
alok,Common,male,0.6862106979978729,,,
akash,Common,male,0.5059654408115407,,,
nikhil,Common,male,0.5624381511295925,,,
manas,Common,male,0.6014112955648071,,,
addwait,Common,male,0.7810150571806203,,,
himanshu,Common,male,0.5596246227684433,,,
ayush,Common,male,0.5059654408115407,,,
ayushi,Common,female,0.5446321182841322,,,
jay,male,male,1.0,,,
jaismeen,Common,female,0.5902866054409568,,,
kamal,Common,male,0.704873577023448,,,
ashutosh,Common,male,0.525156618988558,,,
surendra,female,male,0.9126486401735832,,,
ajay,Common,male,0.4939555211862551,,,
pramod,female,male,0.9033808600335484,,,
monish,Common,male,0.6079549217638159,,,
piyush,female,male,0.9033808600335484,,,
niyaz,Common,male,0.818125210972638,,,
arhan,Common,male,0.7793367272044321,,,
vivak,Common,male,0.6014112955648071,,,
